User_ID,Lessons_Per_Week,Avg_Time_Per_Lesson,Streaks,Quiz_Scores,Dropped_Off
User_401,7,1.14,26,96.32,1
User_402,20,0.77,27,72.94,0
User_403,29,0.17,37,31.17,1
User_404,15,1.82,4,83.11,1
User_405,11,2.99,24,28.87,1
User_406,8,2.02,19,87.4,1
User_407,29,2.24,36,12.15,1
User_408,21,4.53,39,70.66,1
User_409,7,1.81,10,54.53,1
User_410,26,2.62,25,10.56,1
User_411,19,3.94,18,24.95,1
User_412,23,2.04,19,2.23,1
User_413,11,3.15,36,47.41,0
User_414,11,4.33,10,30.83,1
User_415,24,4.75,33,60.24,1
User_416,21,0.82,5,30.43,1
User_417,4,4.64,47,30.69,1
User_418,8,2.51,49,74.58,1
User_419,24,1.37,35,5.77,1
User_420,3,2.35,44,90.39,1
User_421,22,4.9,34,85.37,1
User_422,21,2.51,33,67.11,1
User_423,2,1.71,21,59.73,1
User_424,24,3.2,17,89.34,1
User_425,12,1.28,22,19.35,0
User_426,6,0.47,48,8.82,1
User_427,2,0.73,37,24.71,1
User_428,28,0.73,15,79.66,0
User_429,21,0.84,35,4.43,1
User_430,1,0.78,28,58.7,1
User_431,12,3.24,7,99.55,1
User_432,26,0.99,32,85.71,0
User_433,22,1.79,11,52.62,1
User_434,29,4.49,10,7.3,1
User_435,12,2.42,9,83.31,1
User_436,25,3.37,14,60.3,0
User_437,17,0.94,13,12.38,1
User_438,27,1.04,25,10.29,1
User_439,27,0.3,2,91.05,0
User_440,10,0.93,35,67.25,1
User_441,28,1.47,7,83.1,0
User_442,28,0.97,21,88.02,0
User_443,16,0.53,18,57.61,1
User_444,15,0.69,3,52.23,1
User_445,15,2.36,42,43.61,1
User_446,19,1.11,39,32.38,1
User_447,12,1.88,41,44.03,0
User_448,23,2.57,49,77.61,1
User_449,20,3.48,11,60.59,1
User_450,25,0.29,39,89.36,0
User_451,3,4.02,24,44.89,1
User_452,5,3.18,46,61.1,1
User_453,19,0.5,19,63.5,1
User_454,7,4.38,4,59.58,1
User_455,21,4.61,26,70.56,1
User_456,9,0.4,38,24.51,1
User_457,7,1.46,42,51.72,1
User_458,18,4.05,32,11.32,1
User_459,4,3.77,39,39.07,1
User_460,25,1.0,45,49.28,1
User_461,28,1.13,46,65.57,1
User_462,14,1.92,36,95.1,0
User_463,18,2.47,40,60.46,0
User_464,26,3.13,37,74.62,0
User_465,9,1.91,33,51.12,1
User_466,26,2.37,36,63.78,1
User_467,21,3.76,3,8.02,1
User_468,2,0.28,9,26.18,1
User_469,20,1.34,8,36.82,1
User_470,28,3.6,33,47.78,0
User_471,15,4.49,6,5.52,0
User_472,28,2.61,41,14.86,1
User_473,7,2.71,39,28.4,1
User_474,12,0.63,4,97.18,1
User_475,29,2.29,13,33.8,0
User_476,8,2.71,49,48.72,0
User_477,15,1.29,2,20.41,1
User_478,3,1.42,5,61.47,1
User_479,14,1.95,44,28.79,0
User_480,17,0.2,27,21.49,1
User_481,4,1.68,32,52.14,1
User_482,18,1.14,21,1.55,0
User_483,8,1.7,8,1.76,1
User_484,4,0.69,38,22.69,1
User_485,2,4.46,8,4.64,1
User_486,6,3.01,3,11.69,1
User_487,22,3.43,44,34.55,0
User_488,10,3.97,3,80.46,1
User_489,4,2.54,22,57.63,0
User_490,22,0.53,6,51.75,1
User_491,29,2.73,2,30.06,1
User_492,18,2.98,23,93.24,1
User_493,26,3.75,44,40.3,1
User_494,12,2.22,2,9.62,1
User_495,2,0.73,38,62.09,1
User_496,10,1.49,17,12.27,1
User_497,4,1.88,35,35.18,1
User_498,14,3.26,34,51.23,1
User_499,16,2.9,23,87.55,1
User_500,15,1.84,30,49.86,1
User_501,8,4.93,8,70.52,1
User_502,14,3.07,22,99.29,1
User_503,23,1.26,44,14.02,1
User_504,28,0.6,36,28.2,1
User_505,25,0.85,5,40.06,1
User_506,8,1.31,13,42.76,0
User_507,21,0.89,29,41.69,1
User_508,16,1.01,31,90.85,0
User_509,13,1.5,47,71.69,1
User_510,18,0.95,16,61.18,1
User_511,15,4.49,42,31.63,1
User_512,21,0.49,30,82.56,0
User_513,24,2.67,16,95.55,1
User_514,26,2.11,12,82.3,0
User_515,25,4.91,17,1.15,1
User_516,28,0.65,16,64.0,1
User_517,28,2.05,12,6.06,1
User_518,28,4.85,8,26.5,1
User_519,13,4.34,20,6.89,1
User_520,9,4.1,3,60.78,1
User_521,29,1.36,16,68.97,1
User_522,15,0.94,30,12.33,0
